ID,Database,Location, Bridge Type, Bridge Type Description,Center Latitude,Center Longitude,Center Elevation (m),Inundation Flag (Center),Culvert,
350,NBI,'0.6 W JCT 9519',1,Slab,47.08164322,-123.7015733,29.7,1,0,
351,NBI,'3.7 S GRAY HAR CO',1,Slab,46.74087319,-124.0721419,4.7,1,0,
352,NBI,'0.6 E SATSOP',11,Arch - Deck,47.00603763,-123.4690774,12.9,1,0,
353,NBI,'3.2 SE JCT 101 & 6',19,Culvert (inlcudes frame culverts),46.66470004,-123.6777,4.5,1,1,
354,NBI,'01.4 NE JCT 9431',1,Slab,46.99841692,-123.8007622,3.1,1,0,
355,NBI,'7.2 NW JCT US 101',1,Slab,47.07457154,-124.0524385,5.8,1,0,
356,NBI,'9.0 NW JCT SR 101',2,Stringer/Multi-beam or Girder,47.09741171,-124.0593604,6.5,1,0,
357,NBI,'4.7 NE JCT SR 12',1,Slab,46.99721835,-123.2945707,50.2,0,0,
358,NBI,'7.9 NE JCT 6 & 101',1,Slab,46.74815727,-123.670844,56.4,0,0,
359,NBI,'0.2 W JCT E HOQ RD',3,Girder and Floorbeam System,47.00513302,-123.8820897,-0.5,1,0,
360,NBI,'1.7 SW JCT SR 12',9,Truss - Deck,46.82984493,-123.2586267,13.3,1,0,
361,NBI,'04.1 W JCT 9519',1,Slab,47.08145696,-123.7548079,14.1,1,0,
362,NBI,'0.6 E JCT W.SATSOP',4,Tee Beam,47.00006017,-123.4987464,12.9,1,0,
363,NBI,'00.1 W JCT E.SATSOP',10,Truss - Thru,47.00122914,-123.4949325,11,1,0,
364,NBI,'7.1 N BRADY',2,Stringer/Multi-beam or Girder,47.08560736,-123.4895897,30.1,0,0,
365,NBI,'0.1 W DUCK LAKE DR',2,Stringer/Multi-beam or Girder,46.98884548,-124.1461248,3.2,1,0,
366,NBI,'0.1 E DOLPHIN',2,Stringer/Multi-beam or Girder,46.9980445,-124.148505,3.2,1,0,
367,NBI,'E SARGENT BLVD',1,Slab,46.97960004,-123.7815276,0.9,1,0,
368,NBI,'YOUNG STREET',2,Stringer/Multi-beam or Girder,46.98467449,-123.8051969,0.6,1,0,
369,NBI,'DIVISION CREEK',6,Box Beam or Girders - Single or Spread,46.97894311,-123.8318695,6.6,1,0,
370,NBI,'0.1 N DISCOVERY',2,Stringer/Multi-beam or Girder,46.95260046,-124.1350003,3.6,1,0,
371,NBI,'0.22 MI SW JCT E YOUNG ST',4,Tee Beam,47.00496625,-123.3969344,20.6,1,0,
372,NBI,'0.5 N JCT 5207',2,Stringer/Multi-beam or Girder,47.12320415,-123.7763729,26.4,1,0,
373,NBI,'0.8 S JCT SR 101',2,Stringer/Multi-beam or Girder,47.18559726,-123.9525322,30.1,0,0,
374,NBI,'02.8 E JCT SR101',2,Stringer/Multi-beam or Girder,47.23154067,-123.9229648,46.5,0,0,
375,NBI,'00.1 SE JCT SR8',4,Tee Beam,47.04348637,-123.314716,49.6,0,0,
376,NBI,'03.7 S JCT 96412',4,Tee Beam,46.93117252,-123.4132324,28.3,1,0,
377,NBI,'4.9 N JCT 101 & 105',22,Channel Beam ,46.74583197,-123.7168261,47.7,0,0,
378,NBI,'1.2 SW GRAYS H. CO.',2,Stringer/Multi-beam or Girder,46.77753362,-123.4625014,70.8,0,0,
379,NBI,'10.2 SE JCT 6 & 101',2,Stringer/Multi-beam or Girder,46.62426614,-123.5676975,54.2,0,0,
380,NBI,'00.0 SW JCT 9519',2,Stringer/Multi-beam or Girder,47.00906385,-123.6513064,8.2,1,0,
381,NBI,'08.20 N. ABERDEEN',2,Stringer/Multi-beam or Girder,47.07211575,-123.771174,14.1,1,0,
382,NBI,'11.2 SE JCT 6 & 101',4,Tee Beam,46.5622761,-123.6120665,35.1,0,0,
383,NBI,'0.07 N JCT SR 6',2,Stringer/Multi-beam or Girder,46.56427193,-123.5884909,46.2,0,0,
384,NBI,'13.0 SE JCT US 101',19,Culvert (inlcudes frame culverts),46.56277002,-123.5623226,51.8,0,1,
385,NBI,'5.1 N JCT 105-101',22,Channel Beam ,46.74908165,-123.7670183,50.5,0,0,
386,NBI,'0.29 E JCT SR 101',22,Channel Beam ,46.73985402,-123.7383312,44.2,0,0,
387,NBI,'7.1 SE JCT 6 & 101',2,Stringer/Multi-beam or Girder,46.64295331,-123.6160538,19.9,1,0,
388,NBI,'0.04 NE MILL CR RD',2,Stringer/Multi-beam or Girder,46.64564636,-123.6305973,13.4,1,0,
389,NBI,'10.8 SE JCT 6 & 101',1,Slab,46.62762836,-123.556918,57.3,0,0,
390,NBI,'ENT MORRISON RIV PK',1,Slab,46.97694814,-123.8013071,3.8,1,0,
391,NBI,'0.74 E JCT 401',2,Stringer/Multi-beam or Girder,46.3468956,-123.8113271,8.4,1,0,
