ID,Latitude,Longitude,Structure Number,Location,Flagged for Inundation
365,46.99803,-124.14856,8.5008E+13,'0.1 E DOLPHIN',1
366,46.97961,-123.78153,8.5259E+13,'E SARGENT BLVD',0
367,46.985,-123.805,8.5264E+13,'YOUNG STREET',1
368,46.97833,-123.83167,8.5272E+13,'DIVISION CREEK',1
369,46.95258,-124.13492,8.5394E+13,'0.1 N DISCOVERY',1
370,47.005,-123.39694,8.5608E+13,'0.22 MI SW JCT E YOUNG ST',0
371,47.12322,-123.77633,8.5635E+13,'0.5 N JCT 5207',0
372,47.18562,-123.95264,8.5636E+13,'0.8 S JCT SR 101',1
373,47.23158,-123.92292,8.5815E+13,'02.8 E JCT SR101',1
374,47.04361,-123.31472,8.5816E+13,'00.1 SE JCT SR8',0
375,46.93167,-123.41333,8.6051E+13,'03.7 S JCT 96412',0
376,46.74581,-123.71681,8.6075E+13,'4.9 N JCT 101 & 105',0
377,46.77753,-123.46242,8.6076E+13,'1.2 SW GRAYS H. CO.',0
378,46.62431,-123.56772,8.6077E+13,'10.2 SE JCT 6 & 101',0
379,47.00908,-123.65128,8.6118E+13,'00.0 SW JCT 9519',0
380,47.07222,-123.77111,8.6119E+13,'08.20 N. ABERDEEN',0
381,46.56225,-123.61208,8.613E+13,'11.2 SE JCT 6 & 101',0
382,46.56425,-123.58844,8.6131E+13,'0.07 N JCT SR 6',0
383,46.56278,-123.56219,8.6132E+13,'13.0 SE JCT US 101',0
384,46.74897,-123.76728,8.6133E+13,'5.1 N JCT 105-101',0
385,46.73983,-123.73839,8.6134E+13,'0.29 E JCT SR 101',0
386,46.64297,-123.61611,8.6138E+13,'7.1 SE JCT 6 & 101',0
387,46.64567,-123.63058,8.6149E+13,'0.04 NE MILL CR RD',0
388,46.62758,-123.55697,8.6166E+13,'10.8 SE JCT 6 & 101',0
389,46.97694,-123.80139,8.6177E+13,'ENT MORRISON RIV PK',1
390,46.34686,-123.81125,8.6215E+13,'0.74 E JCT 401',1
391,46.62394,-123.68417,8.6216E+13,'3.41 S JCT SR 6',0
392,46.77833,-123.73356,8.6217E+13,'1.0 S GRAY HAR. CO.',0
393,46.69436,-123.71214,8.6299E+13,'1.2 MILES E. SR 105',0
394,47.22413,-123.51312,8.6354E+13,'00.2 NW JCT 7365',0
395,46.52028,-123.87936,8.6438E+13,'7.1 N JCT 4 AND 101',1
