%Lon   Lat   NEOWAVE_non_dispersive(15-arc-sec)   NEOWAVE_dispersive(15-arc-sec)    MOST(15-arc-sec)   MOST(30-arc-sec)
-124.171000 44.960000 4.417192 3.940621 4.266787 3.726364
-124.180000 44.947000 4.278814 3.827294 4.115370 3.699515
-124.180000 44.938000 4.237756 3.784011 4.045202 3.674011
-124.180000 44.924000 4.206073 3.733139 3.957686 3.616341
-124.187000 44.912000 4.144126 3.713700 3.912513 3.564544
-124.193000 44.899000 4.103333 3.732276 3.918419 3.553034
-124.200000 44.880000 4.051490 3.810301 4.035659 3.545598
-124.205000 44.867000 4.140167 3.912194 4.185125 3.592908
-124.213000 44.855000 4.410660 4.049008 4.393722 3.643901
-124.220000 44.845000 4.677436 4.149383 4.573726 3.719627
-124.227000 44.832000 5.009901 4.288594 4.813448 3.770367
-124.235000 44.820000 5.458827 4.424984 5.074340 3.861725
-124.246000 44.807000 5.932620 4.594992 5.334930 3.927285
-124.253000 44.799000 6.155759 4.711503 5.501487 3.950853
-124.262000 44.787000 6.270477 4.833715 5.682172 3.993816
-124.269000 44.773000 6.198268 4.861403 5.727480 3.999750
-124.280000 44.762000 5.832292 4.738997 5.551152 3.923024
-124.290000 44.753000 5.392905 4.502831 5.232226 3.821985
-124.300000 44.746000 4.812657 4.263861 4.852519 3.796115
-124.314000 44.740000 4.513200 4.103214 4.621601 3.647428
-124.327000 44.727000 4.495768 3.911360 4.389201 3.427176
-124.360000 44.725000 4.581925 3.850050 4.402452 3.345312
-124.340000 44.723000 4.545660 3.884411 4.403211 3.399353
-124.379000 44.720000 4.673229 3.822648 4.422622 3.259153
-124.387000 44.713000 4.638660 3.757289 4.412725 3.249508
-124.400000 44.707000 4.671015 3.680035 4.389851 3.217046
-124.413000 44.697000 4.724666 3.595331 4.262047 3.216194
-124.427000 44.691000 4.788766 3.671975 4.236541 3.263688
-124.440000 44.680000 4.777455 3.867597 4.357117 3.353557
-124.440000 44.672000 4.835847 3.959205 4.491234 3.424503
-124.440000 44.658000 5.107522 4.109044 4.733951 3.558462
-124.455000 44.653000 5.304106 4.216639 4.879305 3.693824
-124.462000 44.640000 5.587006 4.349730 5.090773 3.760836
-124.467000 44.627000 5.650963 4.366857 5.061963 3.859778
-124.477000 44.613000 4.968770 4.175359 4.701649 3.865373
-124.480000 44.596000 4.023538 3.653768 3.803957 3.620322
-124.484000 44.580000 3.338928 3.230083 3.707852 3.200018
-124.492000 44.567000 3.334569 2.990250 3.302473 3.100099
-124.500000 44.559000 3.099166 2.795739 3.899263 3.185489
-124.506000 44.540000 3.124511 2.943564 3.876185 3.341748
-124.506000 44.520000 3.832754 3.942853 4.449968 3.948869
-124.515000 44.513000 4.130948 4.094891 4.218855 3.826184
-124.524000 44.500000 3.960188 3.807596 4.778952 4.487621
-124.533000 44.490000 3.642302 3.451255 4.908815 4.971432
-124.541000 44.480000 3.179176 2.934222 5.614899 5.236917
-124.548000 44.467000 3.472890 3.001847 6.501384 5.749019
-124.548000 44.447000 4.296429 3.300764 6.455712 5.740933
-124.540000 44.436000 4.502797 3.338654 5.625351 4.816505
-124.538000 44.420000 4.511953 3.231451 4.492141 4.085500
-124.547000 44.409000 3.965454 3.035332 3.880538 3.878340
-124.560000 44.403000 3.497997 2.911611 3.922539 3.657606
-124.573000 44.400000 3.175951 2.691748 4.092234 3.957353
-124.593000 44.396000 3.035544 2.556616 4.282505 4.259244
-124.607000 44.391000 3.121830 2.528633 4.475049 4.481850
-124.620000 44.383000 3.160468 2.454975 4.623203 4.221300
-124.633000 44.376000 3.113290 2.459531 4.692790 4.416653
-124.647000 44.370000 3.126932 2.486759 4.710588 4.390208
-124.658000 44.360000 2.991320 2.494877 4.706438 4.253416
-124.667000 44.348000 2.966979 2.427202 4.705888 4.071994
-124.665000 44.340000 3.003764 2.466954 4.622222 3.624706
-124.673000 44.327000 2.989324 2.463466 4.621390 3.133076
-124.682000 44.320000 2.917048 2.443580 4.825788 3.047365
-124.693000 44.312000 2.828579 2.409005 4.468764 2.832502
-124.711000 44.307000 2.900891 2.462137 4.206461 3.020815
-124.720000 44.299000 2.980500 2.480814 3.348706 2.521093
-124.581000 44.293000 3.181611 2.845949 2.959129 2.409320
-124.600000 44.287000 3.180699 2.832700 3.012834 2.440074
-124.578000 44.287000 3.193965 2.860397 2.973578 2.408233
-124.721000 44.280000 3.136648 2.640217 3.397740 2.450196
-124.611000 44.280000 3.248711 2.873367 3.071243 2.448046
-124.500000 44.277000 3.068344 2.756541 2.889692 2.559811
-124.567000 44.275000 3.202345 2.841265 3.024835 2.382070
-124.486000 44.273000 3.049154 2.734644 2.865237 2.598874
-124.553000 44.271000 3.202210 2.839919 2.997090 2.409202
-124.513000 44.270000 3.098738 2.782133 2.921970 2.508185
-124.533000 44.268000 3.173830 2.815186 2.957913 2.480215
-124.716000 44.267000 3.265218 2.721949 3.407570 2.546058
-124.613000 44.260000 3.346059 2.955132 3.129715 2.466931
-124.467000 44.260000 3.092935 2.746294 2.849647 2.606605
-124.707000 44.258000 3.383330 2.808919 3.326403 2.563827
-124.480000 44.258000 3.114810 2.761641 2.869401 2.559612
